"sku","name","selling_price","original_price","discount","availability","color","category","breadcrumbs","average_rating","reviews_count"
"H05280","Court Tourino Shoes",56,80,24,"InStock","White","Shoes","Women/Shoes",4.6,16
"H02368","ZX 2K Shoes",48,60,12,"InStock","Green","Shoes","Kids/Shoes",4.9,27
"FX5981","Stan Smith Primeblue Shoes",53,75,22,"InStock","White","Shoes","Kids/Shoes",5,4
"S42626","Continental 80 Stripes Shoes",70,100,30,"InStock","White","Shoes","Women/Shoes",4.4,16
"GZ7456","ZX 2K Boost Shoes",96,120,24,"InStock","White","Shoes","Kids/Shoes",4.3,8
"H04324","Choigo Shoes",70,100,30,"InStock","White","Shoes","Women/Shoes",4.7,135
"GZ8689","Continental 80 Vegan Shoes",70,100,30,"InStock","White","Shoes","Women/Shoes",4.6,21
"FY4884","Special 21 Shoes",56,80,24,"InStock","Black","Shoes","Women/Shoes",4.5,50
"Q47127","Swift Run X Shoes",44,55,11,"InStock","Grey","Shoes","Kids/Shoes",5,6
"GZ7875","ZX 2K Boost Pure Shoes",105,150,45,"InStock","White","Shoes","Women/Shoes",4.5,52
"FI5157","Amplifier Tee",16,20,4,"InStock","Green","Clothing","Women/Clothing",4.5,63
"S23683","X9000L3 Shoes",96,120,24,"InStock","White","Shoes","Men/Shoes",4.3,48
"GI7309","Terrex Primeknit Rain.RDY Jacket",240,300,60,"InStock","Black","Clothing","Men/Clothing",5,4
"HC9929","Hurricanes Premier Alternate Jersey",108,120,12,"InStock","Green","Clothing","Men/Clothing",1,1
"FX4186","Terrex Hyperhiker Hiking Shoes",46,65,19,"InStock","Black","Shoes","Kids/Shoes",4.8,91
"H20306","Allover Print Camo Graphic Tee",20,25,5,"InStock","Blue","Clothing","Kids/Clothing",4.8,34
"GT3882","Primeblue Always Om Yoga Shorts",32,45,13,"InStock","Blue","Clothing","Men/Clothing",4.4,7
"S29055","Terrex Trailmaker Primegreen Hiking Shoes",88,110,22,"InStock","Beige","Shoes","Men/Shoes",4.8,16
"GU9689","adidas Sportswear Future Icons 3-Stripes Skinny Pants",44,55,11,"InStock","Black","Clothing","Women/Clothing",4,4
"GZ0159","Lite Racer Adapt 4.0 Shoes",39,55,16,"InStock","Blue","Shoes","Kids/Shoes",4.5,191
"GV2052","Marimekko Techfit Primegreen AEROREADY Training Pocket Tights",28,40,12,"InStock","Pink","Clothing","Kids/Clothing",4.1,9
"S29238","Stan Smith 360 Shoes",36,45,9,"InStock","White","Shoes","Kids/Shoes",4.8,5
"S24022","ZX 1K Boost Shoes",64,80,16,"InStock","Green","Shoes","Kids/Shoes",5,3
"G58478","Edge Lux 4 Shoes",68,85,17,"InStock","White","Shoes","Women/Shoes",3.8,69
"H00458","Postmove Shoes",56,70,14,"InStock","Pink","Shoes","Women/Shoes",4.6,84
"H05315","Continental 80 Vegan Shoes",70,100,30,"InStock","White","Shoes","Women/Shoes",4.6,21
"H00455","Postmove Shoes",49,70,21,"InStock","White","Shoes","Women/Shoes",4.6,84
"H02321","NMD_R1 Refined Shoes",96,120,24,"InStock","White","Shoes","Kids/Shoes",4.5,50
"H00457","Postmove Shoes",56,70,14,"InStock","Black","Shoes","Women/Shoes",4.6,84
"H03958","adidas Superstar x LEGO® Shoes",64,80,16,"InStock","White","Shoes","Kids/Shoes",5,87
"H00456","Postmove Shoes",49,70,21,"InStock","White","Shoes","Women/Shoes",4.6,84
"H02723","Terrex Two Ultra Parley AP Shoes",126,180,54,"InStock","White","Shoes","Women/Shoes",4,3
"H00459","Postmove Shoes",56,70,14,"InStock","White","Shoes","Women/Shoes",4.6,84
"H03083","Retropy P9 Shoes",128,160,32,"InStock","Blue","Shoes","Men/Shoes",4.2,6
"H05653","Superstar OT Tech Shoes",80,100,20,"InStock","Black","Shoes","Originals/Shoes",4.3,49
"GX8131","Racer TR21 Wide Shoes",60,75,15,"InStock","White","Shoes","Men/Shoes",4.6,57
"GW7963","Racer TR21 Wide Shoes",60,75,15,"InStock","Black","Shoes","Men/Shoes",4.6,57
"H51143","adidas Sportswear Future Icons 3-Stripes Hooded Track Jacket",52,65,13,"InStock","Black","Clothing","Women/Clothing",4.8,30
"H51144","adidas Sportswear Future Icons 3-Stripes Hooded Track Jacket",52,65,13,"InStock","Grey","Clothing","Women/Clothing",4.8,30
"H59062","Camo Everyday Shorts",32,40,8,"InStock","Grey","Clothing","Men/Clothing",4.6,10
"EX4439","Performance Boxer Briefs 3 Pairs",21,30,9,"InStock","Red","Clothing","Men/Clothing",4.8,233
"HB1552","Parley Sweat Pants (Gender Neutral)",72,80,8,"InStock","Black","Clothing","Sportswear/Clothing",4.8,26
"H00517","EQ21 Run Shoes",72,80,8,"InStock","Blue","Shoes","Men/Shoes",4.6,146
"H00516","EQ21 Run Shoes",72,80,8,"InStock","Orange","Shoes","Men/Shoes",4.6,146
"H34546","Marathon 3-Stripes Jacket",56,70,14,"InStock","Red","Clothing","Men/Clothing",4.8,39
"GU0305","Solid Swim Shorts",20,25,5,"InStock","Gold","Clothing","Men/Clothing",4.6,70
"GT9781","adidas Z.N.E. Sportswear Pants",60,75,15,"InStock","Black","Clothing","Men/Clothing",4.8,30
"S23678","X9000L3 Shoes",96,120,24,"InStock","Grey","Shoes","Men/Shoes",4.3,48
"H42544","Small Crossbody Bag",20,25,5,"InStock","Orange","Accessories","Women/Accessories",4.9,7
"FW6948","X Ghosted.3 Firm Ground Cleats",64,80,16,"InStock","Yellow","Shoes","Soccer/Shoes",4.4,160
"H28793","AEROREADY  Designed to Move Sport Camo-Print Shorts",24,30,6,"InStock","Grey","Clothing","Men/Clothing",4.8,157
"H14684","Foil Mandala Graphic Tee",20,25,5,"InStock","White","Clothing","Women/Clothing",4.5,8
"FW6945","X Ghosted.3 Firm Ground Cleats",64,80,16,"InStock","Pink","Shoes","Soccer/Shoes",4.4,160
"GS4150","Foil Mandala Graphic Tee",18,25,7,"InStock","Blue","Clothing","Women/Clothing",4.5,8
"GT9515","Disney Mickey Mouse Summer Set",37,52,15,"InStock","Pink","Clothing","Kids/Clothing",4.9,9
"H20478","Marimekko Hoodie",56,70,14,"InStock","Red","Clothing","Women/Clothing",4.6,52
"H04513","4D Fusio Shoes",180,200,20,"InStock","Yellow","Shoes","Originals/Shoes",4.2,562
"H04510","4D Fusio Shoes",180,200,20,"InStock","Black","Shoes","Men/Shoes",4.2,562
"FW7518","Predator Freak.3 Indoor Shoes",64,80,16,"InStock","Black","Shoes","Men/Shoes",4.7,51
"GZ7885","4D Fusio Shoes",180,200,20,"InStock","White","Shoes","Men/Shoes",4.2,562
"H04509","4D Fusio Shoes",180,200,20,"InStock","Blue","Shoes","Originals/Shoes",4.2,562
"H04511","4D Fusio Shoes",180,200,20,"InStock","Grey","Shoes","Men/Shoes",4.2,562
"GS6340","FARM Rio Feelbrilliant AEROREADY High-Rise Tights",36,45,9,"InStock","Black","Clothing","Women/Clothing",4.6,48
"H28787","AEROREADY  Designed to Move Sport Camo-Print Shorts",24,30,6,"InStock","Red","Clothing","Men/Clothing",4.8,157
